B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,SCL,QA60,VV,VH,HH,HV,angle,elevation,manganese_proxy,label
675.0,582.5,839.5,630.5,1229.0,2568.0,2884.5,2981.0,2985.0,2887.5,1869.5,1040.5,4.0,0.0,-8.951621605355333,-15.692977791029403,0.0,0.0,35.09701156616211,340.0,0.034110386,0
569.6875,574.85,795.7692307692307,859.125,1247.1,1890.4285714285713,2068.4,2155.0,2341.2,2299.345238095238,2106.833333333333,1449.3333333333333,5.0,0.0,-9.942265893747255,-17.82872283340019,0.0,0.0,39.91556167602539,309.0,0.009005738,0
671.0,708.0,886.5,1022.5,1401.5,2179.5,2718.5,2692.5,2965.5,2928.5,2628.5,1636.5,5.0,0.0,-10.036568458575076,-17.02691551572435,0.0,0.0,31.191814422607422,332.0,0.0082404,0
658.1818181818181,821.0,1103.888888888889,1396.3333333333333,1798.3333333333333,2354.25,2625.875,2899.2,3027.0,2883.818181818182,3464.666666666667,2500.5,5.0,0.0,-10.062946850631514,-17.306034957594992,0.0,0.0,34.06245040893555,305.0,0.031328678,0
599.0,771.0,1007.0,1145.0,1525.0,2202.0,2432.0,2492.0,2691.0,2521.0,2398.0,1684.0,5.0,0.0,-10.53901550790207,-17.679240304110625,0.0,0.0,32.66868591308594,301.0,0.008700101,0
469.0,649.0,979.0,953.0,1518.0,2523.0,2885.0,3083.0,3081.0,3104.0,2331.0,1381.0,4.0,0.0,-9.276904514034621,-15.883845434700259,0.0,0.0,36.91635513305664,352.0,0.015826514,0
435.0,518.5,708.0,796.5,1224.5,1705.0,1963.0,1998.5,2243.0,2349.5,2327.0,1743.0,5.0,0.0,-8.214591528964238,-14.324263715860553,0.0,0.0,43.30152893066406,622.0,0.02205206,0
585.0,780.0,1028.0,1203.0,1616.0,2225.0,2526.0,2526.0,2792.0,2684.0,2792.0,1975.0,5.0,0.0,-10.29274808368546,-16.97341950802233,0.0,0.0,30.847949981689453,304.0,0.020575775,0
682.0,804.0,1037.0,1195.0,1596.0,2178.0,2442.0,2551.0,2695.0,2730.0,2907.0,2050.0,5.0,0.0,-11.65933324618895,-18.749639282520988,0.0,0.0,32.01287078857422,319.0,0.021113463,0
620.5,803.0,934.0,1011.5,1458.5,2566.5,2785.0,2854.0,3004.0,2860.5,2617.5,1797.5,5.0,0.0,-8.58806669825203,-16.033190897525763,0.0,0.0,38.61901092529297,301.0,0.00070491544,0
668.0,727.0,1002.5,1074.5,1571.5,2117.0,2313.0,2430.5,2578.0,2739.5,2524.0,1648.5,5.0,0.0,-9.867023806170787,-17.882116808491876,0.0,0.0,35.901729583740234,323.0,0.014771389,0
440.1041666666667,579.953488372093,817.0555555555555,821.5483870967741,1333.774193548387,1896.3,2137.222222222222,2137.5,2334.8571428571427,2371.3333333333335,2351.181818181818,1715.75,5.0,0.0,-10.723720695157075,-18.104572946714036,0.0,0.0,40.38835144042969,325.0,0.015004404,0
450.5625,475.55555555555554,552.4516129032259,562.1666666666666,940.9230769230769,1844.0666666666666,2214.8,2367.1666666666665,2365.266666666667,2632.5714285714284,1880.25,1043.0,4.0,0.0,-8.129912091986819,-14.826221664486418,0.0,0.0,39.1997184753418,387.0,0.016140994,0
380.0,436.0,609.0,512.0,1020.0,1924.0,2247.0,2282.0,2499.0,2549.0,1890.0,980.0,4.0,0.0,-9.034554111733526,-16.417996305262676,0.0,0.0,33.114925384521484,306.0,0.013977719,0
698.6,573.304347826087,852.0909090909091,796.6470588235294,1312.0,2017.5555555555557,2332.6363636363635,2459.0,2605.1428571428573,2628.7,2465.5,1786.0,5.0,0.0,-8.437716410469886,-15.385564570406572,0.0,0.0,32.23469543457031,339.0,0.0070045018,0
430.0,598.0,799.0,920.0,1315.0,2021.0,2304.0,2615.0,2645.0,2593.0,2393.0,1602.0,5.0,0.0,-9.302185087760817,-16.187671242960665,0.0,0.0,43.16100311279297,327.0,0.0035214357,0
490.0,553.5,736.0,654.5,1082.0,1991.0,2240.5,2369.5,2532.0,2449.5,2071.5,1177.5,4.0,0.0,-8.300373824031194,-15.203097436851348,0.0,0.0,37.43858337402344,380.0,0.0072545535,0
670.0,936.0,1174.0,1440.5,1784.5,2406.5,2696.0,2839.5,2964.0,2999.5,2852.0,2056.5,5.0,0.0,-11.861192041657509,-18.113932250844833,0.0,0.0,36.589996337890625,279.0,0.01367675,0
660.0,996.5,1254.5,1481.5,1873.5,2226.5,2491.5,2631.0,2734.0,2650.5,3418.5,2485.0,5.0,0.0,-11.541663567928673,-19.35458724742925,0.0,0.0,36.07864761352539,361.0,0.030518955,0
1044.5,943.5,1256.5,1425.0,1826.0,2381.5,2583.5,2672.0,2753.0,2921.0,3049.0,2453.5,5.0,0.0,-12.12944775341856,-17.915132402644748,0.0,0.0,38.642822265625,291.0,0.01991879,0
438.95652173913044,447.3181818181818,570.3846153846154,493.14285714285717,918.3333333333334,1834.857142857143,2066.3333333333335,2079.25,2342.0,2506.230769230769,1820.25,1006.2,4.0,0.0,-6.369538620523589,-14.528450931489802,0.0,0.0,39.505088806152344,417.0,0.008784113,0
565.0,659.0,874.0,867.0,1365.0,2177.0,2447.0,2571.0,2721.0,2966.0,2356.0,1526.0,5.0,0.0,-10.330400219188958,-16.43819250266484,0.0,0.0,35.56853103637695,291.0,0.0002203387,0
440.8181818181818,554.3333333333334,739.8,599.5,1147.25,2004.7142857142858,2365.125,2528.8571428571427,2650.6666666666665,2615.4,2185.5,1189.0,4.0,0.0,-8.33287973642295,-15.511048338278584,0.0,0.0,38.58198547363281,478.0,0.010101286,0
561.0,702.5,959.0,1088.5,1596.5,2276.0,2581.5,2855.5,2887.5,2811.0,2939.5,1972.5,5.0,0.0,-10.089673971245531,-16.140224122672258,0.0,0.0,33.38985061645508,288.0,0.0143061755,0
632.0,845.0,1098.0,1263.0,1714.5,2269.5,2526.5,2666.5,2844.0,2750.0,3177.0,2130.5,5.0,0.0,-11.90284468553551,-16.5652642500934,0.0,0.0,35.805397033691406,265.0,0.026026463,0
683.0,755.0,1035.0,1162.0,1618.0,2256.0,2530.0,2575.0,2834.0,2902.0,2787.0,2027.0,5.0,0.0,-11.45573043617104,-18.61905979028353,0.0,0.0,31.773828506469727,299.0,0.017995393,0
548.2307692307693,673.0,921.7222222222222,1243.6666666666667,1632.6,2089.0,2398.3333333333335,2394.5,2581.0,2488.6,3470.0,2498.6666666666665,5.0,0.0,-12.146628921562758,-18.33420545799685,0.0,0.0,32.99604797363281,310.0,0.05429241,0
553.5,734.5,943.0,1060.0,1508.5,2209.5,2449.5,2557.5,2753.0,2743.0,3120.0,2211.5,5.0,0.0,-11.827231720797261,-17.34099148287803,0.0,0.0,37.814571380615234,421.0,0.024196792,0
654.5,852.0,1066.5,1281.5,1699.5,2191.5,2429.0,2518.0,2723.0,2702.0,3134.5,2140.0,5.0,0.0,-11.29443054412512,-18.102498735222184,0.0,0.0,31.211105346679688,330.0,0.029597212,0
641.0,698.0,931.0,1048.0,1431.0,2000.0,2249.0,2370.0,2497.0,2625.0,2629.0,1825.0,5.0,0.0,-10.145476909496217,-17.45777390463989,0.0,0.0,31.88928985595703,315.0,0.0195285,0
